Row ID,Order Priority,Discount in %,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Manager
20847,High,1,2.84,0.93,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,SANFORD Liquid Accent™ Tank-Style Highlighters,0.54,United States,West,Washington,Anacortes,98221,1/7/2015,1/8/2015,4.56,4,13.01,88522,William
20228,None,2,500.98,26.0,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,United States,West,California,San Gabriel,91776,6/13/2015,6/15/2015,4390.37,12,6362.85,90193,William
23890,High,5,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,United States,West,Montana,Helena,59601,5/15/2015,5/16/2015,314.48,17,455.77,90031,William
24063,None,7,12.99,9.44,19,Jim Rodgers,Regular Air,Small Business,Technology,Office Machines,Medium Box,Hewlett Packard 6S Scientific Calculator,0.39,United States,West,Montana,Missoula,59801,5/21/2015,5/23/2015,-114.64,18,231.79,90032,William
20631,High,6,55.48,14.3,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,United States,West,California,Laguna Niguel,92677,1/28/2015,1/29/2015,-28.3,1,67.49,87651,William
20632,High,2,1.68,1.57,24,Edna Thomas,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,United States,West,California,Laguna Niguel,92677,1/28/2015,1/30/2015,-5.31,1,2.25,87651,William
23967,None,4,4.14,6.6,27,Guy Gallagher,Regular Air,Corporate,Furniture,Office Furnishings,Small Box,Eldon Image Series Black Desk Accessories,0.49,United States,West,California,Lakewood,90712,5/2/2015,5/4/2015,8.89,12,54.78,87652,William
23509,High,8,34.99,7.73,32,Matthew Berman,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Box,Hunt Boston® Vacuum Mount KS Pencil Sharpener,0.59,United States,West,Oregon,Grants Pass,97526,2/22/2015,2/23/2015,144.69,13,424.68,89199,William
23612,High,1,17.98,8.51,32,Matthew Berman,Regular Air,Corporate,Technology,Office Machines,Medium Box,Canon P1-DHIII Palm Printing Calculator,0.4,United States,West,Oregon,Grants Pass,97526,3/27/2015,3/28/2015,-35.88,2,40.17,89200,William
23278,Medium,9,125.99,7.69,32,Matthew Berman,Express Air,Corporate,Technology,Telephones and Communication,Small Box,StarTAC 3000,0.59,United States,West,Oregon,Grants Pass,97526,1/20/2015,1/22/2015,210.0,8,783.55,89202,William
19355,Low,6,205.99,8.99,32,Matthew Berman,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,TimeportP7382,0.56,United States,West,Oregon,Grants Pass,97526,3/12/2015,3/19/2015,3568.1,22,3838.14,89203,William
23654,None,3,4.24,5.41,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,0.35,United States,West,Oregon,Gresham,97030,6/15/2015,6/17/2015,-84.44,13,58.68,89201,William
23655,None,4,2.94,0.7,33,Ricky Hensley,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 338,0.58,United States,West,Oregon,Gresham,97030,6/15/2015,6/16/2015,24.31,18,53.1,89201,William
25933,High,0,99.99,19.99,43,Theodore Moran,Regular Air,Consumer,Technology,Office Machines,Small Box,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,0.52,United States,West,Washington,Redmond,98052,5/10/2015,5/11/2015,25.91,6,647.07,91454,William
18551,None,0,115.99,2.5,52,Lorraine Kelly,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6160,0.57,United States,West,Washington,Puyallup,98373,3/10/2015,3/10/2015,162.67,6,627.04,88426,William
22117,Critical,7,3502.14,8.73,53,Sidney Russell Austin,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Box,Okidata Pacemark 4410N Wide Format Dot Matrix Printer,0.57,United States,West,Washington,Redmond,98052,1/28/2015,1/30/2015,-6923.6,1,3267.55,88425,William
18552,None,2,5.98,5.79,53,Sidney Russell Austin,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1903,0.36,United States,West,Washington,Redmond,98052,3/10/2015,3/11/2015,-67.49,17,110.19,88426,William
23274,Low,5,155.06,7.07,67,Ellen McCormick,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"Dual Level, Single-Width Filing Carts",0.59,United States,West,California,Napa,94559,1/2/2015,1/9/2015,845.66,8,1225.6,87946,William
24663,Low,5,161.55,19.99,87,Norman Shields,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,West,California,Vacaville,95687,6/3/2015,6/8/2015,1892.42,19,3127.69,90596,William
23841,High,9,4.91,0.5,87,Norman Shields,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,California,Vacaville,95687,3/22/2015,3/23/2015,28.86,9,41.82,90597,William
23842,High,1,296.18,54.12,87,Norman Shields,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,Hon 94000 Series Round Tables,0.76,United States,West,California,Vacaville,95687,3/22/2015,3/25/2015,173.48,9,2875.72,90597,William
23071,High,7,19.84,4.1,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,Prismacolor Color Pencil Set,0.44,United States,West,California,Vallejo,94591,5/17/2015,5/18/2015,117.85,9,170.8,87175,William
19877,Medium,5,5.18,2.04,91,Wallace Werner,Regular Air,Home Office,Office Supplies,Paper,Wrap Bag,Array® Memo Cubes,0.36,United States,West,California,Vallejo,94591,2/18/2015,2/20/2015,34.01,10,53.54,87176,William
19611,Medium,6,175.99,8.99,91,Wallace Werner,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,2180,0.57,United States,West,California,Vallejo,94591,3/4/2015,3/6/2015,2031.51,23,3363.53,87177,William
19074,High,3,4.26,1.2,114,Ron Newton,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Oregon,Lake Oswego,97035,1/3/2015,1/4/2015,18.66,7,29.5,89583,William
19950,Medium,1,4.91,0.5,114,Ron Newton,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,Oregon,Lake Oswego,97035,4/4/2015,4/6/2015,40.25,12,58.33,89584,William
19951,Medium,9,4.0,1.3,114,Ron Newton,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,0.37,United States,West,Oregon,Lake Oswego,97035,4/4/2015,4/6/2015,14.09,5,20.42,89584,William
26241,Low,7,2.12,1.99,115,Dwight M Carr,Regular Air,Home Office,Technology,Computer Peripherals,Small Pack,Fuji Slim Jewel Case CD-R,0.55,United States,West,Oregon,Mcminnville,97128,4/9/2015,4/11/2015,-55.84,12,26.07,89585,William
1074,High,3,4.26,1.2,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,United States,West,Washington,Seattle,98103,1/3/2015,1/4/2015,9.82,29,122.23,7909,William
1950,Medium,1,4.91,0.5,117,Linda Weiss,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 493,0.36,United States,West,Washington,Seattle,98103,4/4/2015,4/6/2015,112.06,47,228.46,13959,William
1951,Medium,9,4.0,1.3,117,Linda Weiss,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,EcoTones® Memo Sheets,0.37,United States,West,Washington,Seattle,98103,4/4/2015,4/6/2015,16.79,19,77.61,13959,William
